date,index_code,index_name,close,pe_ttm,pe_static,pb,dividend_yield,bond_yield
2020-01-02,000015,上证红利,2781.7100,7.2800,7.3900,0.8900,7.1920,3.1485
2020-01-03,000015,上证红利,2779.4500,7.2800,7.3900,0.8900,7.1920,3.1428
2020-01-06,000015,上证红利,2775.5700,7.2400,7.3400,0.8900,7.2306,3.1352
2020-01-07,000015,上证红利,2794.1200,7.2600,7.3700,0.8900,7.2016,3.1379
2020-01-08,000015,上证红利,2772.2900,7.1900,7.2900,0.8800,7.2795,3.1337
2020-01-09,000015,上证红利,2798.6200,7.1900,7.3100,0.8800,7.2501,3.1184
2020-01-10,000015,上证红利,2785.9100,7.1700,7.3000,0.8800,7.2697,3.0819
2020-01-13,000015,上证红利,2800.8600,7.1900,7.3100,0.8800,7.2501,3.0840
2020-01-14,000015,上证红利,2801.5900,7.1900,7.3100,0.8800,7.2501,3.0994
2020-01-15,000015,上证红利,2788.1800,7.1300,7.2500,0.8700,7.3191,3.0897
2020-01-16,000015,上证红利,2780.4500,7.0700,7.2000,0.8700,7.3792,3.0918
2020-01-17,000015,上证红利,2781.8500,7.0800,7.2000,0.8700,7.3691,3.0832
2020-01-20,000015,上证红利,2782.9400,7.0900,7.2100,0.8700,7.3591,3.0776
2020-01-21,000015,上证红利,2728.5000,7.0000,7.1100,0.8600,7.4713,3.0337
2020-01-22,000015,上证红利,2732.3700,7.0000,7.1200,0.8600,7.4610,3.0282
2020-01-23,000015,上证红利,2657.8800,6.8900,7.0000,0.8400,7.5978,2.9932
2020-02-03,000015,上证红利,2429.5500,6.4600,6.5700,0.7900,8.0883,2.8231
2020-02-04,000015,上证红利,2473.1300,6.5900,6.7000,0.8100,7.9452,2.8551
2020-02-05,000015,上证红利,2500.7900,6.6000,6.7100,0.8100,7.9335,2.8440
2020-02-06,000015,上证红利,2520.0100,6.6300,6.7400,0.8100,7.8986,2.8392
2020-02-07,000015,上证红利,2517.1200,6.6000,6.7100,0.8100,7.9218,2.8024
2020-02-10,000015,上证红利,2556.2600,6.6100,6.7200,0.8100,7.8986,2.7872
2020-02-11,000015,上证红利,2566.5900,6.6600,6.7700,0.8200,7.8411,2.8340
2020-02-12,000015,上证红利,2575.3200,6.6700,6.7800,0.8200,7.8297,2.8333
2020-02-13,000015,上证红利,2559.2800,6.6300,6.7500,0.8100,7.8640,2.8201
